Rank,Title,Adj. Lifetime Gross,Lifetime Gross,Est. Num Tickets,Year
79,Finding Dory,"$526,201,397 ","$486,295,561 ","56,158,100",2016
80,Harry Potter and the Sorcerer's Stone,"$526,061,784 ","$318,886,962 ","56,143,200",2001
81,West Side Story,"$524,839,936 ","$44,055,492 ","56,012,800",1961
82,Close Encounters of the Third Kind,"$523,996,636 ","$135,189,114 ","55,922,800",1977
83,Lady and the Tramp,"$522,236,013 ","$93,602,326 ","55,734,900",1955
84,Lawrence of Arabia,"$519,444,690 ","$45,306,425 ","55,437,000",1962
85,The Rocky Horror Picture Show,"$516,000,278 ","$112,892,319 ","55,069,400",1975
86,Rocky,"$515,724,800 ","$117,235,147 ","55,040,000",1976
87,The Best Years of Our Lives,"$515,350,000 ","$23,650,000 ","55,000,000",1946
88,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,891 ","$515,202,542 ","54,984,300",2019
89,The Poseidon Adventure,"$514,431,740 ","$84,563,118 ","54,902,000",1972
90,The Lord of the Rings: The Fellowship of the Ring,"$513,470,378 ","$316,115,420 ","54,799,400",2001
91,Twister,"$512,427,497 ","$241,830,615 ","54,688,100",1996
92,Men in Black,"$511,758,479 ","$250,690,539 ","54,616,700",1997
93,The Bridge on the River Kwai,"$509,728,000 ","$27,200,000 ","54,400,000",1957
94,Transformers: Revenge of the Fallen,"$505,051,433 ","$402,111,870 ","53,900,900",2009
95,It's a Mad Mad Mad Mad World,"$504,812,498 ","$46,332,858 ","53,875,400",1963
96,Swiss Family Robinson,"$504,180,960 ","$40,356,000 ","53,808,000",1960
97,One Flew Over the Cuckoo's Nest,"$503,032,198 ","$108,981,275 ","53,685,400",1975
98,M*A*S*H,"$503,020,954 ","$81,600,000 ","53,684,200",1970
99,Indiana Jones and the Temple of Doom,"$501,602,336 ","$179,870,271 ","53,532,800",1984
100,Star Wars: Episode II - Attack of the Clones,"$500,999,845 ","$310,676,740 ","53,468,500",2002
101,Avengers: Age of Ultron,"$499,902,618 ","$459,005,868 ","53,351,400",2015
102,Toy Story 3,"$499,790,178 ","$415,004,880 ","53,339,400",2010
103,Mrs. Doubtfire,"$493,652,828 ","$219,195,243 ","52,684,400",1993
104,Aladdin,"$491,384,351 ","$217,350,219 ","52,442,300",1992
105,Ghost,"$482,228,924 ","$217,631,306 ","51,465,200",1990
