,Inflation_Rank,Title,Adj. Domestic Lifetime Gross,Domestic Lifetime Gross,Est. Num Tickets,Year,Worldwide_Rank,Worldwide Lifetime Gross, Domestic % ,Foreign Lifetime Gross, Foreign % 
55,49,Incredibles 2,"$621,223,504 ","$608,581,744 ","66,299,200",2018,19,"$1,243,089,244",0.49,"$634,507,500",0.51
56,50,Airport,"$619,462,881 ","$100,489,151 ","66,111,300",1970,0,$nan,,$nan,
57,51,American Graffiti,"$615,742,991 ","$115,000,000 ","65,714,300",1973,0,$nan,,$nan,
58,52,The Robe,"$613,308,665 ","$36,000,000 ","65,454,500",1953,0,$nan,,$nan,
59,53,Pirates Of The Caribbean Dead ManS Chest,"$605,568,108 ","$423,315,812 ","64,628,400",2006,37,"$1,066,179,747",0.4,"$642,863,935",0.6
60,54,Around The World In 80 Days,"$605,446,298 ","$42,000,000 ","64,615,400",1956,0,$nan,,$nan,
61,55,Bambi,"$596,985,188 ","$102,247,150 ","63,712,400",1942,585,"$267,447,150",0.38,"$165,200,000",0.62
62,56,Blazing Saddles,"$592,555,052 ","$119,616,663 ","63,239,600",1974,0,$nan,,$nan,
63,57,Batman,"$590,050,451 ","$251,409,241 ","62,972,300",1989,306,"$411,508,343",0.61,"$160,160,000",0.39
64,58,The Bells Of St MaryS,"$587,921,587 ","$21,333,333 ","62,745,100",1945,0,$nan,,$nan,
65,59,The Lord Of The Rings The Return Of The King,"$577,563,989 ","$378,251,207 ","61,639,700",2003,25,"$1,146,030,912",0.33,"$768,185,007",0.67
66,60,Finding Nemo,"$577,065,505 ","$380,843,261 ","61,586,500",2003,59,"$940,352,645",0.41,"$559,509,384",0.59
67,61,The Towering Inferno,"$575,090,309 ","$116,000,000 ","61,375,700",1974,0,$nan,,$nan,
68,62,Rogue One A Star Wars Story,"$566,337,792 ","$533,539,991 ","60,441,600",2016,39,"$1,056,057,720",0.5,"$523,880,396",0.5
69,64,Cinderella,"$565,024,118 ","$93,141,149 ","60,301,400",1950,196,"$542,358,331",0.37,"$341,206,978",0.63
70,65,SpiderMan 2,"$563,687,019 ","$373,585,825 ","60,158,700",2004,98,"$788,976,453",0.47,"$415,390,628",0.53
71,66,My Fair Lady,"$562,782,814 ","$72,560,711 ","60,062,200",1964,0,$nan,,$nan,
72,67,The Greatest Show On Earth,"$562,200,000 ","$36,000,000 ","60,000,000",1952,0,$nan,,$nan,
73,68,National LampoonS Animal House,"$561,172,111 ","$141,600,000 ","59,890,300",1978,0,$nan,,$nan,
74,69,The Passion Of The Christ,"$559,433,976 ","$370,782,930 ","59,704,800",2004,163,"$612,054,506",0.61,"$241,271,576",0.39
75,70,Star Wars Episode Iii  Revenge Of The Sith,"$555,871,502 ","$380,270,577 ","59,324,600",2005,0,$nan,,$nan,
76,71,Back To The Future,"$555,222,161 ","$212,836,762 ","59,255,300",1985,342,"$381,906,762",0.55,"$170,500,000",0.45
77,72,The Lord Of The Rings The Two Towers,"$540,886,998 ","$342,952,511 ","57,725,400",2002,57,"$947,495,095",0.36,"$604,943,730",0.64
78,73,The Dark Knight Rises,"$539,541,466 ","$448,149,584 ","57,581,800",2012,32,"$1,081,142,612",0.41,"$633,003,513",0.59
79,74,The Sixth Sense,"$539,516,167 ","$293,506,292 ","57,579,100",1999,137,"$672,806,432",0.44,"$379,300,140",0.56
80,75,Superman,"$537,688,080 ","$134,478,449 ","57,384,000",1978,513,"$300,451,603",0.45,"$166,000,000",0.55
81,76,Tootsie,"$533,189,543 ","$177,200,000 ","56,903,900",1982,982,"$177,200,000",1.0,$0,0.0
83,77,Beauty And The Beast,"$532,665,760 ","$504,481,165 ","56,848,000",2017,294,"$424,967,620",0.52,"$206,000,000",0.48
86,78,Smokey And The Bandit,"$532,524,273 ","$126,737,428 ","56,832,900",1977,0,$nan,,$nan,
87,79,Finding Dory,"$526,201,397 ","$486,295,561 ","56,158,100",2016,43,"$1,028,570,942",0.47,"$542,275,381",0.53
88,80,Harry Potter And The SorcererS Stone,"$526,061,784 ","$318,886,962 ","56,143,200",2001,47,"$1,017,713,119",0.31,"$698,826,157",0.69
89,81,West Side Story,"$524,839,936 ","$44,055,492 ","56,012,800",1961,0,$nan,,$nan,
