Title,Year,Inflation_Rank,Adj. Domestic Lifetime Gross,Est. Num Tickets,Worldwide Rank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Production Budget
Iron Man 2,2010,198,"$371,691,971 ","39,668,300",156,"$623,933,331","$312,433,331 ",50.0,"$311,500,000",50.0,"$170,000,000"
Zootopia,2016,199,"$371,109,157 ","39,606,100",46,"$1,024,121,104","$341,268,248 ",33.0,"$682,852,856",67.0,$nan
Liar Liar,1997,200,"$370,330,510 ","39,523,000",507,"$302,710,615","$181,410,615 ",60.0,"$121,300,000",40.0,"$45,000,000"
The Land Girls,,,,,,,,,,,"$8,000,000"
"First Love, Last Rites",,,,,,,,,,,"$300,000"
I Married a Strange Person,,,,,,,,,,,"$250,000"
Let's Talk About Sex,,,,,,,,,,,"$300,000"
Slam,,,,,,,,,,,"$1,000,000"
Mississippi Mermaid,,,,,,,,,,,"$1,600,000"
Following,,,,,,,,,,,"$6,000"
Foolish,,,,,,,,,,,"$1,600,000"
Pirates,,,,,,,,,,,"$40,000,000"
Duel in the Sun,,,,,,,,,,,"$6,000,000"
Tom Jones,,,,,,,,,,,"$1,000,000"
Oliver!,,,,,,,,,,,"$10,000,000"
To Kill A Mockingbird,,,,,,,,,,,"$2,000,000"
"Tora, Tora, Tora",,,,,,,,,,,"$25,000,000"
Hollywood Shuffle,,,,,,,,,,,"$100,000"
Over the Hill to the Poorhouse,,,,,,,,,,,"$100,000"
Wilson,,,,,,,,,,,"$5,200,000"
Darling Lili,,,,,,,,,,,"$22,000,000"
12 Angry Men,,,,,,,,,,,"$340,000"
Twelve Monkeys,,,,,,,,,,,"$29,000,000"
1776,,,,,,,,,,,"$4,000,000"
1941,,,,,,,,,,,"$32,000,000"
Chacun sa nuit,,,,,,,,,,,"$1,900,000"
2001: A Space Odyssey,,,,,,,,,,,"$10,500,000"
"20,000 Leagues Under the Sea",,,,,,,,,,,"$5,000,000"
"20,000 Leagues Under the Sea",,,,,,,,,,,"$200,000"
24 7: Twenty Four Seven,,,,,,,,,,,"$2,000,000"
Twin Falls Idaho,,,,,,,,,,,"$500,000"
Three Kingdoms: Resurrection of the Dragon,,,,,,,,,,,"$20,000,000"
3 Men and a Baby,,,,,,,,,,,"$15,000,000"
3 Ninjas Kick Back,,,,,,,,,,,"$20,000,000"
Forty Shades of Blue,,,,,,,,,,,"$1,500,000"
42nd Street,,,,,,,,,,,"$439,000"
Four Rooms,,,,,,,,,,,"$4,000,000"
The Four Seasons,,,,,,,,,,,"$6,500,000"
Four Weddings and a Funeral,,,,,,,,,,,"$4,500,000"
51 Birch Street,,,,,,,,,,,"$350,000"
55 Days at Peking,,,,,,,,,,,"$17,000,000"
Nine 1/2 Weeks,,,,,,,,,,,"$18,000,000"
AstÈrix aux Jeux Olympiques,,,,,,,,,,,"$113,500,000"
The Abyss,,,,,,,,,,,"$70,000,000"
Action Jackson,,,,,,,,,,,"$7,000,000"
Ace Ventura: Pet Detective,,,,,,,,,,,"$12,000,000"
Ace Ventura: When Nature Calls,,,,,,,,,,,"$30,000,000"
April Fool's Day,,,,,,,,,,,"$5,000,000"
Among Giants,,,,,,,,,,,"$4,000,000"
Annie Get Your Gun,,,,,,,,,,,"$3,768,785"
Alice in Wonderland,,,,,,,,,,,"$3,000,000"
Alice in Wonderland,,,,,,,,,,,"$200,000,000"
The Princess and the Cobbler,,,,,,,,,,,"$24,000,000"
The Alamo,,,,,,,,,,,"$12,000,000"
The Alamo,,,,,,,,,,,"$92,000,000"
Alexander's Ragtime Band,,,,,,,,,,,"$2,000,000"
Alive,,,,,,,,,,,"$32,000,000"
Amen,,,,,,,,,,,"$14,000,000"
American Ninja 2: The Confrontation,,,,,,,,,,,"$350,000"
The American President,,,,,,,,,,,"$62,000,000"
Annie Hall,,,,,,,,,,,"$4,000,000"
Anatomie,,,,,,,,,,,"$2,500,000"
The Adventures of Huck Finn,,,,,,,,,,,"$6,500,000"
The Apartment,,,,,,,,,,,"$3,000,000"
Apocalypse Now,,,,,,,,,,,"$31,500,000"
Arachnophobia,,,,,,,,,,,"$31,000,000"
Arn - Tempelriddaren,,,,,,,,,,,"$16,500,000"
Arnolds Park,,,,,,,,,,,"$600,000"
Sweet Sweetback's Baad Asssss Song,,,,,,,,,,,"$150,000"
And Then Came Love,,,,,,,,,,,"$989,000"
Around the World in 80 Days,,,,,,,,,,,"$6,000,000"
Around the World in 80 Days,,,,,,,,,,,"$110,000,000"
Barbarella,,,,,,,,,,,"$9,000,000"
Barry Lyndon,,,,,,,,,,,"$11,000,000"
"Barbarians, The",,,,,,,,,,,"$4,000,000"
Babe,,,,,,,,,,,"$30,000,000"
Boynton Beach Club,,,,,,,,,,,"$2,900,000"
Baby's Day Out,,,,,,,,,,,"$50,000,000"
Bound by Honor,,,,,,,,,,,"$35,000,000"
"Bon Cop, Bad Cop",,,,,,,,,,,"$8,000,000"
Back to the Future,,,,,,,,,,,"$19,000,000"
Back to the Future Part II,,,,,,,,,,,"$40,000,000"
Back to the Future Part III,,,,,,,,,,,"$40,000,000"
Butch Cassidy and the Sundance Kid,,,,,,,,,,,"$6,000,000"
Bad Boys,,,,,,,,,,,"$23,000,000"
Body Double,,,,,,,,,,,"$10,000,000"
"The Beast from 20,000 Fathoms",,,,,,,,,,,"$210,000"
Beastmaster 2: Through the Portal of Time,,,,,,,,,,,"$6,000,000"
The Beastmaster,,,,,,,,,,,"$5,000,000"
Ben-Hur,,,,,,,,,,,"$3,900,000"
Ben-Hur,,,,,,,,,,,"$15,000,000"
Benji,,,,,,,,,,,"$500,000"
Before Sunrise,,,,,,,,,,,"$2,500,000"
Beauty and the Beast,,,,,,,,,,,"$20,000,000"
The Best Years of Our Lives,,,,,,,,,,,"$2,100,000"
The Ballad of Gregorio Cortez,,,,,,,,,,,"$1,305,000"
My Big Fat Independent Movie,,,,,,,,,,,"$3,000,000"
Battle for the Planet of the Apes,,,,,,,,,,,"$1,800,000"
Big Things,,,,,,,,,,,"$50,000"
Bogus,,,,,,,,,,,"$32,000,000"
Beverly Hills Cop II,,,,,,,,,,,"$20,000,000"
Beverly Hills Cop III,,,,,,,,,,,"$50,000,000"
The Black Hole,,,,,,,,,,,"$20,000,000"
Bathory,,,,,,,,,,,"$15,000,000"
Big,,,,,,,,,,,"$18,000,000"
The Big Parade,,,,,,,,,,,"$245,000"
Boyz n the Hood,,,,,,,,,,,"$6,500,000"
"The Book of Mormon Movie, Volume 1: The Journey",,,,,,,,,,,"$2,000,000"
Return to the Blue Lagoon,,,,,,,,,,,"$11,000,000"
"Bright Lights, Big City",,,,,,,,,,,"$25,000,000"
The Blue Bird,,,,,,,,,,,"$1,200,000"
The Blue Butterfly,,,,,,,,,,,"$10,400,000"
Blade Runner,,,,,,,,,,,"$28,000,000"
Bloodsport,,,,,,,,,,,"$1,500,000"
The Blues Brothers,,,,,,,,,,,"$27,000,000"
Blow Out,,,,,,,,,,,"$18,000,000"
De battre mon coeur s'est arrÍtÈ,,,,,,,,,,,"$5,500,000"
The Broadway Melody,,,,,,,,,,,"$379,000"
Boom Town,,,,,,,,,,,"$2,000,000"
Bound,,,,,,,,,,,"$4,500,000"
Bang,,,,,,,,,,,"$10,000"
Bananas,,,,,,,,,,,"$2,000,000"
Bill & Ted's Bogus Journey,,,,,,,,,,,"$20,000,000"
The Birth of a Nation,,,,,,,,,,,"$110,000"
The Ballad of Cable Hogue,,,,,,,,,,,"$3,716,946"
The Blood of Heroes,,,,,,,,,,,"$7,700,000"
The Blood of My Brother: A Story of Death in Iraq,,,,,,,,,,,"$120,000"
Boomerang,,,,,,,,,,,"$42,000,000"
The Bridge on the River Kwai,,,,,,,,,,,"$3,000,000"
Born on the Fourth of July,,,,,,,,,,,"$14,000,000"
Basquiat,,,,,,,,,,,"$3,000,000"
Black Rain,,,,,,,,,,,"$30,000,000"
Bottle Rocket,,,,,,,,,,,"$5,000,000"
Braindead,,,,,,,,,,,"$3,000,000"
The Bridges of Madison County,,,,,,,,,,,"$22,000,000"
The Brothers McMullen,,,,,,,,,,,"$25,000"
Dracula,,,,,,,,,,,"$40,000,000"
Broken Arrow,,,,,,,,,,,"$65,000,000"
Brainstorm,,,,,,,,,,,"$15,000,000"
Braveheart,,,,,,,,,,,"$72,000,000"
Les BronzÈs 3: amis pour la vie,,,,,,,,,,,"$42,000,000"
Brazil,,,,,,,,,,,"$15,000,000"
The Basket,,,,,,,,,,,"$1,300,000"
Bathing Beauty,,,,,,,,,,,"$2,361,000"
Bill & Ted's Excellent Adventure,,,,,,,,,,,"$10,000,000"
A Bridge Too Far,,,,,,,,,,,"$26,000,000"
Beetle Juice,,,,,,,,,,,"$15,000,000"
Batman Returns,,,,,,,,,,,"$80,000,000"
Batman - The Movie,,,,,,,,,,,"$1,377,800"
Buffy the Vampire Slayer,,,,,,,,,,,"$7,000,000"
Bienvenue chez les Ch'tis,,,,,,,,,,,"$16,000,000"
Beyond the Valley of the Dolls,,,,,,,,,,,"$1,000,000"
Broken Vessels,,,,,,,,,,,"$600,000"
The Boys from Brazil,,,,,,,,,,,"$12,000,000"
The Business of Fancy Dancing,,,,,,,,,,,"$200,000"
Caddyshack,,,,,,,,,,,"$6,000,000"
Cape Fear,,,,,,,,,,,"$35,000,000"
Clear and Present Danger,,,,,,,,,,,"$62,000,000"
Carrie,,,,,,,,,,,"$1,800,000"
Casino Royale,,,,,,,,,,,"$12,000,000"
Casino Royale,,,,,,,,,,,"$102,000,000"
Camping Sauvage,,,,,,,,,,,"$4,600,000"
The Cotton Club,,,,,,,,,,,"$48,000,000"
Crop Circles: Quest for Truth,,,,,,,,,,,"$600,000"
Close Encounters of the Third Kind,,,,,,,,,,,"$20,000,000"
The Cable Guy,,,,,,,,,,,"$47,000,000"
Chocolate: Deep Dark Secrets,,,,,,,,,,,"$1,000,000"
Child's Play,,,,,,,,,,,"$9,000,000"
Child's Play 2,,,,,,,,,,,"$13,000,000"
Chain Reaction,,,,,,,,,,,"$55,000,000"
Charly,,,,,,,,,,,"$950,000"
Chariots of Fire,,,,,,,,,,,"$5,500,000"
A Christmas Story,,,,,,,,,,,"$3,250,000"
Cat on a Hot Tin Roof,,,,,,,,,,,"$3,000,000"
C.H.U.D.,,,,,,,,,,,"$1,250,000"
"Charge of the Light Brigade, The",,,,,,,,,,,"$1,200,000"
Crooklyn,,,,,,,,,,,"$14,000,000"
Festen,,,,,,,,,,,"$1,300,000"
Cliffhanger,,,,,,,,,,,"$65,000,000"
The Californians,,,,,,,,,,,"$500,000"
The Client,,,,,,,,,,,"$45,000,000"
The Calling,,,,,,,,,,,"$160,000"
The Calling,,,,,,,,,,,"$2,500,000"
Clueless,,,,,,,,,,,"$13,700,000"
The Color Purple,,,,,,,,,,,"$15,000,000"
Clerks,,,,,,,,,,,"$27,000"
Central do Brasil,,,,,,,,,,,"$2,900,000"
Clash of the Titans,,,,,,,,,,,"$15,000,000"
Clockwatchers,,,,,,,,,,,"$2,000,000"
Commando,,,,,,,,,,,"$10,000,000"
The Color of Money,,,,,,,,,,,"$10,000,000"
Congo,,,,,,,,,,,"$50,000,000"
Conan the Barbarian,,,,,,,,,,,"$20,000,000"
Conan the Destroyer,,,,,,,,,,,"$18,000,000"
Class of 1984,,,,,,,,,,,"$3,250,000"
The Clan of the Cave Bear,,,,,,,,,,,"$15,000,000"
The Case of the Grinning Cat,,,,,,,,,,,"$200,000"
Bacheha-Ye aseman,,,,,,,,,,,"$180,000"
Coming Home,,,,,,,,,,,"$3,000,000"
Nanjing! Nanjing!,,,,,,,,,,,"$12,000,000"
Cool Runnings,,,,,,,,,,,"$14,000,000"
Conquest of the Planet of the Apes,,,,,,,,,,,"$1,700,000"
Cure,,,,,,,,,,,"$10,000"
Dayereh,,,,,,,,,,,"$10,000"
Karakter,,,,,,,,,,,"$4,500,000"
Creepshow,,,,,,,,,,,"$8,000,000"
Creepshow 2,,,,,,,,,,,"$3,500,000"
The Crying Game,,,,,,,,,,,"$4,000,000"
Crimson Tide,,,,,,,,,,,"$55,000,000"
Caravans,,,,,,,,,,,"$14,000,000"
Crying With Laughter,,,,,,,,,,,"$820,000"
Fengkuang de Shitou,,,,,,,,,,,"$500,000"
Casablanca,,,,,,,,,,,"$950,000"
Casino,,,,,,,,,,,"$52,000,000"
Casper,,,,,,,,,,,"$55,000,000"
Can't Stop the Music,,,,,,,,,,,"$20,000,000"
Catch-22,,,,,,,,,,,"$18,000,000"
City Hall,,,,,,,,,,,"$40,000,000"
Cutthroat Island,,,,,,,,,,,"$92,000,000"
La femme de chambre du Titanic,,,,,,,,,,,"$10,000,000"
Cat People,,,,,,,,,,,"$134,000"
Courage Under Fire,,,,,,,,,,,"$46,000,000"
C'era una volta il West,,,,,,,,,,,"$5,000,000"
The Conversation,,,,,,,,,,,"$1,600,000"
Cavite,,,,,,,,,,,"$7,000"
Copycat,,,,,,,,,,,"$20,000,000"
Dark Angel,,,,,,,,,,,"$7,000,000"
"Boot, Das",,,,,,,,,,,"$12,000,000"
Desperado,,,,,,,,,,,"$7,000,000"
Dumb & Dumber,,,,,,,,,,,"$16,000,000"
Diamonds Are Forever,,,,,,,,,,,"$7,200,000"
The Dark Half,,,,,,,,,,,"$15,000,000"
The Dark Hours,,,,,,,,,,,"$400,000"
Dante's Peak,,,,,,,,,,,"$115,000,000"
Daylight,,,,,,,,,,,"$80,000,000"
Dick Tracy,,,,,,,,,,,"$47,000,000"
Decoys,,,,,,,,,,,"$5,000,000"
Dawn of the Dead,,,,,,,,,,,"$1,500,000"
Dawn of the Dead,,,,,,,,,,,"$28,000,000"
The Addams Family,,,,,,,,,,,"$30,000,000"
Death Becomes Her,,,,,,,,,,,"$55,000,000"
Def-Con 4,,,,,,,,,,,"$1,300,000"
Dead Poets' Society,,,,,,,,,,,"$16,400,000"
The Day the Earth Stood Still,,,,,,,,,,,"$1,200,000"
Deep Throat,,,,,,,,,,,"$25,000"
The Dead Zone,,,,,,,,,,,"$10,000,000"
Die Hard 2,,,,,,,,,,,"$70,000,000"
Die Hard: With a Vengeance,,,,,,,,,,,"$90,000,000"
Dragonheart,,,,,,,,,,,"$57,000,000"
Die Hard,,,,,,,,,,,"$28,000,000"
Diner,,,,,,,,,,,"$5,000,000"
Dil Jo Bhi Kahey...,,,,,,,,,,,"$1,600,000"
Don Juan DeMarco,,,,,,,,,,,"$25,000,000"
Tales from the Crypt: Demon Knight,,,,,,,,,,,"$12,000,000"
Damnation Alley,,,,,,,,,,,"$17,000,000"
Dead Man Walking,,,,,,,,,,,"$11,000,000"
Dances with Wolves,,,,,,,,,,,"$19,000,000"
Dangerous Liaisons,,,,,,,,,,,"$14,000,000"
Donovan's Reef,,,,,,,,,,,"$2,686,000"
Due occhi diabolici,,,,,,,,,,,"$9,000,000"
Double Impact,,,,,,,,,,,"$16,000,000"
The Doors,,,,,,,,,,,"$40,000,000"
Day of the Dead,,,,,,,,,,,"$3,500,000"
Day of the Dead,,,,,,,,,,,"$18,000,000"
Days of Thunder,,,,,,,,,,,"$60,000,000"
Dracula: Pages from a Virgin's Diary,,,,,,,,,,,"$1,100,000"
Dolphin,,,,,,,,,,,"$170,000"
Death Race 2000,,,,,,,,,,,"$300,000"
Drei,,,,,,,,,,,"$7,200,000"
The Dress,,,,,,,,,,,"$2,650,000"
The Deer Hunter,,,,,,,,,,,"$15,000,000"
Dragonslayer,,,,,,,,,,,"$18,000,000"
Driving Miss Daisy,,,,,,,,,,,"$7,500,000"
Dressed to Kill,,,,,,,,,,,"$6,500,000"
Do the Right Thing,,,,,,,,,,,"$6,000,000"
Dune,,,,,,,,,,,"$45,000,000"
Dolphins and Whales Tribes of the Ocean 3D,,,,,,,,,,,"$6,000,000"
Down & Out with the Dolls,,,,,,,,,,,"$1,200,000"
Dream With The Fishes,,,,,,,,,,,"$1,000,000"
The Evil Dead,,,,,,,,,,,"$375,000"
Evil Dead II,,,,,,,,,,,"$3,500,000"
Army of Darkness,,,,,,,,,,,"$11,000,000"
Ed and his Dead Mother,,,,,,,,,,,"$1,800,000"
Edward Scissorhands,,,,,,,,,,,"$20,000,000"
Ed Wood,,,,,,,,,,,"$18,000,000"
The Egyptian,,,,,,,,,,,"$5,000,000"
Everyone Says I Love You,,,,,,,,,,,"$20,000,000"
The Elephant Man,,,,,,,,,,,"$5,000,000"
Emma,,,,,,,,,,,"$5,900,000"
Star Wars Ep. V: The Empire Strikes Back,,,,,,,,,,,"$23,000,000"
Escape from New York,,,,,,,,,,,"$6,000,000"
Escape from L.A.,,,,,,,,,,,"$50,000,000"
Escape from the Planet of the Apes,,,,,,,,,,,"$2,500,000"
Eraser,,,,,,,,,,,"$100,000,000"
Eraserhead,,,,,,,,,,,"$100,000"
Everything You Always Wanted to Know,,,,,,,,,,,"$2,000,000"
ET: The Extra-Terrestrial,,,,,,,,,,,"$10,500,000"
Excessive Force,,,,,,,,,,,"$13,000,000"
Exorcist II: The Heretic,,,,,,,,,,,"$14,000,000"
Exotica,,,,,,,,,,,"$1,500,000"
Force 10 from Navarone,,,,,,,,,,,"$5,000,000"
A Farewell To Arms,,,,,,,,,,,"$5,000,000"
Family Plot,,,,,,,,,,,"$3,000,000"
Fabled,,,,,,,,,,,"$400,000"
Fetching Cody,,,,,,,,,,,"$1,500,000"
The French Connection,,,,,,,,,,,"$2,200,000"
From Dusk Till Dawn,,,,,,,,,,,"$20,000,000"
Friday the 13th,,,,,,,,,,,"$550,000"
Friday the 13th,,,,,,,,,,,"$17,000,000"
Friday the 13th Part 3,,,,,,,,,,,"$2,250,000"
Friday the 13th Part IV: The Final Chapter,,,,,,,,,,,"$2,600,000"
Friday the 13th Part V: A New Beginning,,,,,,,,,,,"$2,200,000"
Friday the 13th Part VI: Jason Lives,,,,,,,,,,,"$3,000,000"
Friday the 13th Part VII: The New Blood,,,,,,,,,,,"$2,800,000"
Friday the 13th Part VIII: Jason Takes Manhattan,,,,,,,,,,,"$5,000,000"
Jason Goes to Hell: The Final Friday,,,,,,,,,,,"$3,000,000"
Per qualche dollaro in pi˘,,,,,,,,,,,"$600,000"
Per un pugno di dollari,,,,,,,,,,,"$200,000"
The Fall of the Roman Empire,,,,,,,,,,,"$19,000,000"
Friday the 13th Part 2,,,,,,,,,,,"$1,250,000"
Faithful,,,,,,,,,,,"$13,000,000"
Fair Game,,,,,,,,,,,"$50,000,000"
A Few Good Men,,,,,,,,,,,"$33,000,000"
From Here to Eternity,,,,,,,,,,,"$1,650,000"
First Morning,,,,,,,,,,,"$300,000"
Shooting Fish,,,,,,,,,,,"$4,000,000"
F.I.S.T,,,,,,,,,,,"$11,000,000"
Flashdance,,,,,,,,,,,"$7,000,000"
Fled,,,,,,,,,,,"$30,000,000"
Flash Gordon,,,,,,,,,,,"$35,000,000"
The Flintstones,,,,,,,,,,,"$45,000,000"
Flight of the Intruder,,,,,,,,,,,"$35,000,000"
Flatliners,,,,,,,,,,,"$26,000,000"
The Flower of Evil,,,,,,,,,,,"$6,000,000"
Funny Ha Ha,,,,,,,,,,,"$30,000"
The Funeral,,,,,,,,,,,"$12,500,000"
Fantasia 2000 (IMAX),,,,,,,,,,,"$80,000,000"
The Fog,,,,,,,,,,,"$1,000,000"
The Fog,,,,,,,,,,,"$18,000,000"
Fortress,,,,,,,,,,,"$12,000,000"
Fiddler on the Roof,,,,,,,,,,,"$9,000,000"
The Front Page,,,,,,,,,,,"$4,000,000"
First Blood,,,,,,,,,,,"$14,000,000"
Friday,,,,,,,,,,,"$3,500,000"
Freeze Frame,,,,,,,,,,,"$2,000,000"
Firefox,,,,,,,,,,,"$21,000,000"
Fargo,,,,,,,,,,,"$7,000,000"
First Knight,,,,,,,,,,,"$75,000,000"
From Russia With Love,,,,,,,,,,,"$2,000,000"
The Firm,,,,,,,,,,,"$42,000,000"
Frenzy,,,,,,,,,,,"$3,500,000"
Footloose,,,,,,,,,,,"$8,200,000"
Fast Times at Ridgemont High,,,,,,,,,,,"$4,500,000"
Fighting Tommy Riley,,,,,,,,,,,"$300,000"
The First Wives Club,,,,,,,,,,,"$30,000,000"
Flirting with Disaster,,,,,,,,,,,"$7,000,000"
For Your Eyes Only,,,,,,,,,,,"$28,000,000"
Fiza,,,,,,,,,,,"$1,000,000"
Grip: A Criminal's Story,,,,,,,,,,,"$12,000"
The Ghost and the Darkness,,,,,,,,,,,"$55,000,000"
Gallipoli,,,,,,,,,,,"$3,000,000"
Gabriela,,,,,,,,,,,"$50,000"
"Il buono, il brutto, il cattivo",,,,,,,,,,,"$1,200,000"
Graduation Day,,,,,,,,,,,"$250,000"
The Godfather: Part II,,,,,,,,,,,"$13,000,000"
The Godfather: Part III,,,,,,,,,,,"$54,000,000"
Goodfellas,,,,,,,,,,,"$25,000,000"
God's Army,,,,,,,,,,,"$300,000"
The Great Escape,,,,,,,,,,,"$4,000,000"
Gory Gory Hallelujah,,,,,,,,,,,"$425,000"
Girl 6,,,,,,,,,,,"$12,000,000"
Goldeneye,,,,,,,,,,,"$60,000,000"
The Glimmer Man,,,,,,,,,,,"$45,000,000"
Glory,,,,,,,,,,,"$18,000,000"
The Gambler,,,,,,,,,,,"$3,000,000"
Good Morning Vietnam,,,,,,,,,,,"$13,000,000"
Gandhi,,,,,,,,,,,"$22,000,000"
A Guy Named Joe,,,,,,,,,,,"$2,627,000"
Gentleman's Agreement,,,,,,,,,,,"$2,000,000"
Goodbye Bafana,,,,,,,,,,,"$30,000,000"
Get on the Bus,,,,,,,,,,,"$2,400,000"
The Golden Child,,,,,,,,,,,"$12,000,000"
Good Dick,,,,,,,,,,,"$200,000"
Groundhog Day,,,,,,,,,,,"$14,600,000"
Get Real,,,,,,,,,,,"$2,000,000"
Gremlins 2: The New Batch,,,,,,,,,,,"$50,000,000"
The Greatest Story Ever Told,,,,,,,,,,,"$20,000,000"
The Gospel of John,,,,,,,,,,,"$11,000,000"
The Greatest Show on Earth,,,,,,,,,,,"$4,000,000"
The First Great Train Robbery,,,,,,,,,,,"$6,000,000"
Get Shorty,,,,,,,,,,,"$30,250,000"
Gettysburg,,,,,,,,,,,"$25,000,000"
Guiana 1838,,,,,,,,,,,"$1,000,000"
Gone with the Wind,,,,,,,,,,,"$3,900,000"
Happiness,,,,,,,,,,,"$3,000,000"
Harley Davidson and the Marlboro Man,,,,,,,,,,,"$23,000,000"
Heavy Metal,,,,,,,,,,,"$9,300,000"
Hell's Angels,,,,,,,,,,,"$4,000,000"
Heartbeeps,,,,,,,,,,,"$10,000,000"
The Helix...  Loaded,,,,,,,,,,,"$1,000,000"
Hang 'em High,,,,,,,,,,,"$1,800,000"
Hellraiser,,,,,,,,,,,"$1,000,000"
Hero,,,,,,,,,,,"$42,000,000"
Highlander III: The Sorcerer,,,,,,,,,,,"$26,000,000"
Highlander,,,,,,,,,,,"$16,000,000"
How Green Was My Valley,,,,,,,,,,,"$1,250,000"
High Noon,,,,,,,,,,,"$730,000"
History of the World: Part I,,,,,,,,,,,"$11,000,000"
"Hello, Dolly",,,,,,,,,,,"$24,000,000"
Halloween II,,,,,,,,,,,"$2,500,000"
Halloween 3: Season of the Witch,,,,,,,,,,,"$2,500,000"
Halloween 4: The Return of Michael Myers,,,,,,,,,,,"$5,000,000"
Halloween 5: The Revenge of Michael Myers,,,,,,,,,,,"$6,000,000"
Halloween:  The Curse of Michael Myers,,,,,,,,,,,"$5,000,000"
Halloween,,,,,,,,,,,"$325,000"
Home Alone 2: Lost in New York,,,,,,,,,,,"$20,000,000"
Home Movies,,,,,,,,,,,"$400,000"
Hum to Mohabbt Karega,,,,,,,,,,,"$2,000,000"
The Hotel New Hampshire,,,,,,,,,,,"$7,500,000"
Henry V,,,,,,,,,,,"$9,000,000"
Housefull,,,,,,,,,,,"$10,100,000"
Hook,,,,,,,,,,,"$70,000,000"
House Party 2,,,,,,,,,,,"$5,000,000"
Hocus Pocus,,,,,,,,,,,"$28,000,000"
The Howling,,,,,,,,,,,"$1,000,000"
High Plains Drifter,,,,,,,,,,,"$15,700,000"
Hoop Dreams,,,,,,,,,,,"$700,000"
Happy Gilmore,,,,,,,,,,,"$10,000,000"
The Hudsucker Proxy,,,,,,,,,,,"$40,000,000"
A Hard Day's Night,,,,,,,,,,,"$560,000"
Heroes,,,,,,,,,,,"$400,000"
The Hunt for Red October,,,,,,,,,,,"$30,000,000"
Harper,,,,,,,,,,,"$3,500,000"
Harriet the Spy,,,,,,,,,,,"$13,000,000"
Le hussard sur le toit,,,,,,,,,,,"$35,000,000"
The Hustler,,,,,,,,,,,"$2,000,000"
Hud,,,,,,,,,,,"$2,500,000"
Hudson Hawk,,,,,,,,,,,"$65,000,000"
Heaven's Gate,,,,,,,,,,,"$44,000,000"
Hav Plenty,,,,,,,,,,,"$650,000"
House of Wax,,,,,,,,,,,"$658,000"
House of Wax,,,,,,,,,,,"$35,000,000"
Hawaii,,,,,,,,,,,"$15,000,000"
Howard the Duck,,,,,,,,,,,"$30,000,000"
High Anxiety,,,,,,,,,,,"$3,400,000"
Hybrid,,,,,,,,,,,"$200,000"
It's a Wonderful Life,,,,,,,,,,,"$3,180,000"
The Ice Pirates,,,,,,,,,,,"$9,000,000"
The Island of Dr. Moreau,,,,,,,,,,,"$40,000,000"
Iraq for Sale: The War Profiteers,,,,,,,,,,,"$775,000"
In Her Line of Fire,,,,,,,,,,,"$1,000,000"
The Indian in the Cupboard,,,,,,,,,,,"$45,000,000"
I Love You Ö Don't Touch Me!,,,,,,,,,,,"$68,000"
Illuminata,,,,,,,,,,,"$10,000,000"
In Cold Blood,,,,,,,,,,,"$3,500,000"
In the Company of Men,,,,,,,,,,,"$25,000"
The Inkwell,,,,,,,,,,,"$8,000,000"
Invaders from Mars,,,,,,,,,,,"$12,000,000"
L'incomparable mademoiselle C.,,,,,,,,,,,"$3,400,000"
Intolerance,,,,,,,,,,,"$385,907"
The Island,,,,,,,,,,,"$22,000,000"
The Island,,,,,,,,,,,"$120,000,000"
Eye See You,,,,,,,,,,,"$55,000,000"
In the Heat of the Night,,,,,,,,,,,"$2,000,000"
Jack,,,,,,,,,,,"$45,000,000"
Jade,,,,,,,,,,,"$50,000,000"
Jingle All the Way,,,,,,,,,,,"$60,000,000"
Dr. No,,,,,,,,,,,"$1,000,000"
Judge Dredd,,,,,,,,,,,"$85,000,000"
The Jerky Boys,,,,,,,,,,,"$4,000,000"
Jefferson in Paris,,,,,,,,,,,"$14,000,000"
JFK,,,,,,,,,,,"$40,000,000"
Journey from the Fall,,,,,,,,,,,"$1,300,000"
Jekyll and Hyde... Together Again,,,,,,,,,,,"$5,000,000"
Jumanji,,,,,,,,,,,"$65,000,000"
The Juror,,,,,,,,,,,"$44,000,000"
Jerusalema,,,,,,,,,,,"$2,000,000"
Johnny Suede,,,,,,,,,,,"$500,000"
Jaws 2,,,,,,,,,,,"$20,000,000"
Jaws 4: The Revenge,,,,,,,,,,,"$23,000,000"
Kabhi Alvida Naa Kehna,,,,,,,,,,,"$10,750,000"
Kickboxer,,,,,,,,,,,"$1,500,000"
Kids,,,,,,,,,,,"$1,500,000"
Kingpin,,,,,,,,,,,"$25,000,000"
Kindergarten Cop,,,,,,,,,,,"$26,000,000"
King Kong (1933),,,,,,,,,,,"$670,000"
King Kong,,,,,,,,,,,"$23,000,000"
King Kong,,,,,,,,,,,"$207,000,000"
Kiss of Death,,,,,,,,,,,"$40,000,000"
The Kings of Appletown,,,,,,,,,,,"$7,000,000"
Koltchak,,,,,,,,,,,"$20,000,000"
Kingdom of the Spiders,,,,,,,,,,,"$500,000"
Keeping it Real: The Adventures of Greg Walloch,,,,,,,,,,,"$100,000"
Akira,,,,,,,,,,,"$8,000,000"
Krush Groove,,,,,,,,,,,"$3,000,000"
Krrish,,,,,,,,,,,"$10,000,000"
