Title,Year,Inflation_Rank,Adj. Domestic Lifetime Gross,Est. Num Tickets,Worldwide Rank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Production Budget
Pinocchio,1940,45,"$631,568,921 ","67,403,300",,,"$84,254,167 ",,,,"$45,000,000"
Cleopatra,1963,46,"$629,509,395 ","67,183,500",,,"$57,777,778 ",,,,"$36,000,000"
Beverly Hills Cop,1984,47,"$629,195,500 ","67,150,000",476,"$316,360,478","$234,760,478 ",74.0,"$81,600,000",26.0,"$15,000,000"
Goldfinger,1964,48,"$621,231,000 ","66,300,000",,,"$51,081,062 ",,,,"$3,000,000"
Incredibles 2,2018,49,"$621,223,504 ","66,299,200",19,"$1,243,089,244","$608,581,744 ",49.0,"$634,507,500",51.0,"$200,000,000"
Airport,1970,50,"$619,462,881 ","66,111,300",,,"$100,489,151 ",,,,"$10,000,000"
American Graffiti,1973,51,"$615,742,991 ","65,714,300",,,"$115,000,000 ",,,,"$777,000"
The Robe,1953,52,"$613,308,665 ","65,454,500",,,"$36,000,000 ",,,,"$5,000,000"
Pirates Of The Caribbean Dead ManS Chest,2006,53,"$605,568,108 ","64,628,400",37,"$1,066,179,747","$423,315,812 ",40.0,"$642,863,935",60.0,"$225,000,000"
Around The World In 80 Days,1956,54,"$605,446,298 ","64,615,400",,,"$42,000,000 ",,,,"$6,000,000"
Bambi,1942,55,"$596,985,188 ","63,712,400",585,"$267,447,150","$102,247,150 ",38.0,"$165,200,000",62.0,"$1,700,000"
Blazing Saddles,1974,56,"$592,555,052 ","63,239,600",,,"$119,616,663 ",,,,"$2,600,000"
Batman,1989,57,"$590,050,451 ","62,972,300",306,"$411,508,343","$251,409,241 ",61.0,"$160,160,000",39.0,"$35,000,000"
The Bells Of St MaryS,1945,58,"$587,921,587 ","62,745,100",,,"$21,333,333 ",,,,"$1,300,000"
The Lord Of The Rings The Return Of The King,2003,59,"$577,563,989 ","61,639,700",25,"$1,146,030,912","$378,251,207 ",33.0,"$768,185,007",67.0,"$94,000,000"
Finding Nemo,2003,60,"$577,065,505 ","61,586,500",59,"$940,352,645","$380,843,261 ",41.0,"$559,509,384",59.0,"$94,000,000"
The Towering Inferno,1974,61,"$575,090,309 ","61,375,700",,,"$116,000,000 ",,,,"$14,000,000"
Rogue One A Star Wars Story,2016,62,"$566,337,792 ","60,441,600",39,"$1,056,057,720","$533,539,991 ",50.0,"$523,880,396",50.0,"$200,000,000"
Cinderella,1950,64,"$565,024,118 ","60,301,400",196,"$542,358,331","$93,141,149 ",37.0,"$341,206,978",63.0,"$2,900,000"
SpiderMan 2,2004,65,"$563,687,019 ","60,158,700",98,"$788,976,453","$373,585,825 ",47.0,"$415,390,628",53.0,"$200,000,000"
My Fair Lady,1964,66,"$562,782,814 ","60,062,200",,,"$72,560,711 ",,,,"$17,000,000"
The Greatest Show On Earth,1952,67,"$562,200,000 ","60,000,000",,,"$36,000,000 ",,,,"$4,000,000"
National LampoonS Animal House,1978,68,"$561,172,111 ","59,890,300",,,"$141,600,000 ",,,,"$2,800,000"
The Passion Of The Christ,2004,69,"$559,433,976 ","59,704,800",163,"$612,054,506","$370,782,930 ",61.0,"$241,271,576",39.0,"$25,000,000"
Star Wars Episode Iii  Revenge Of The Sith,2005,70,"$555,871,502 ","59,324,600",,,"$380,270,577 ",,,,"$115,000,000"
Back To The Future,1985,71,"$555,222,161 ","59,255,300",342,"$381,906,762","$212,836,762 ",55.00000000000001,"$170,500,000",45.0,"$19,000,000"
The Lord Of The Rings The Two Towers,2002,72,"$540,886,998 ","57,725,400",57,"$947,495,095","$342,952,511 ",36.0,"$604,943,730",64.0,"$94,000,000"
The Dark Knight Rises,2012,73,"$539,541,466 ","57,581,800",32,"$1,081,142,612","$448,149,584 ",41.0,"$633,003,513",59.0,"$250,000,000"
The Sixth Sense,1999,74,"$539,516,167 ","57,579,100",137,"$672,806,432","$293,506,292 ",44.0,"$379,300,140",56.00000000000001,"$40,000,000"
Superman,1978,75,"$537,688,080 ","57,384,000",513,"$300,451,603","$134,478,449 ",45.0,"$166,000,000",55.00000000000001,"$55,000,000"
Tootsie,1982,76,"$533,189,543 ","56,903,900",982,"$177,200,000","$177,200,000 ",100.0,$0,0.0,"$15,000,000"
Beauty And The Beast,2017,77,"$532,665,760 ","56,848,000",294,"$424,967,620","$504,481,165 ",52.0,"$206,000,000",48.0,"$20,000,000"
Smokey And The Bandit,1977,78,"$532,524,273 ","56,832,900",,,"$126,737,428 ",,,,"$4,300,000"
Finding Dory,2016,79,"$526,201,397 ","56,158,100",43,"$1,028,570,942","$486,295,561 ",47.0,"$542,275,381",53.0,"$200,000,000"
Harry Potter And The SorcererS Stone,2001,80,"$526,061,784 ","56,143,200",47,"$1,017,713,119","$318,886,962 ",31.0,"$698,826,157",69.0,"$125,000,000"
West Side Story,1961,81,"$524,839,936 ","56,012,800",,,"$44,055,492 ",,,,"$6,000,000"
Close Encounters Of The Third Kind,1977,82,"$523,996,636 ","55,922,800",497,"$306,889,114","$135,189,114 ",44.0,"$171,700,000",56.00000000000001,"$20,000,000"
Lady And The Tramp,1955,83,"$522,236,013 ","55,734,900",,,"$93,602,326 ",,,,"$4,000,000"
Lawrence Of Arabia,1962,84,"$519,444,690 ","55,437,000",,,"$45,306,425 ",,,,"$15,000,000"
The Rocky Horror Picture Show,1975,85,"$516,000,278 ","55,069,400",,,"$112,892,319 ",,,,"$1,200,000"
Rocky,1976,86,"$515,724,800 ","55,040,000",,,"$117,235,147 ",,,,"$1,000,000"
The Best Years Of Our Lives,1946,87,"$515,350,000 ","55,000,000",,,"$23,650,000 ",,,,"$2,100,000"
Star Wars Episode Ix  The Rise Of Skywalker,2019,88,"$515,202,891 ","54,984,300",34,"$1,074,149,279","$515,202,542 ",48.0,"$558,946,737",52.0,"$275,000,000"
